City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Tuatapere,NZ,2021-12-04 17:56:27,-46.1333,167.6833,58.82,98,92,9.48,overcast clouds
60,Pisco,PE,2021-12-04 17:56:28,-13.7,-76.2167,70.02,83,0,10.36,clear sky
61,Gao,ML,2021-12-04 17:56:28,16.6362,1.637,80.73,11,18,10.6,few clouds
62,Methoni,GR,2021-12-04 17:56:29,36.8197,21.7049,55.22,77,31,7.94,scattered clouds
63,Jamestown,US,2021-12-04 17:56:29,42.097,-79.2353,42.3,59,40,13.0,scattered clouds
64,Kapaa,US,2021-12-04 17:56:30,22.0752,-159.319,65.12,82,95,7.54,light rain
65,Lebu,CL,2021-12-04 17:56:30,-37.6167,-73.65,60.24,64,0,20.6,clear sky
66,Horadiz,AZ,2021-12-04 17:56:31,39.4488,47.3353,34.57,61,0,1.34,clear sky
67,Hilo,US,2021-12-04 17:56:31,19.7297,-155.09,73.27,98,100,3.36,heavy intensity rain
68,Mount Gambier,AU,2021-12-04 17:56:31,-37.8333,140.7667,42.71,93,40,0.0,fog
69,Srednekolymsk,RU,2021-12-04 17:56:32,67.45,153.6833,-39.03,100,49,3.2,scattered clouds
70,East London,ZA,2021-12-04 17:56:32,-33.0153,27.9116,67.14,100,90,10.36,light rain
71,Nipawin,CA,2021-12-04 17:56:33,53.3668,-104.0009,1.44,92,40,0.0,scattered clouds
72,Upernavik,GL,2021-12-04 17:56:33,72.7868,-56.1549,13.06,80,100,6.8,overcast clouds
73,Inhambane,MZ,2021-12-04 17:56:34,-23.865,35.3833,78.4,87,35,15.26,scattered clouds
74,Tasiilaq,GL,2021-12-04 17:56:34,65.6145,-37.6368,25.59,84,100,20.04,overcast clouds
75,Amuntai,ID,2021-12-04 17:56:35,-2.4177,115.2494,73.85,99,100,3.13,overcast clouds
76,Barra Do Corda,BR,2021-12-04 17:56:35,-5.5,-45.25,80.73,81,97,4.72,overcast clouds
77,Ostrowiec Swietokrzyski,PL,2021-12-04 17:56:35,50.9294,21.3853,34.79,52,100,3.8,overcast clouds
78,San-Pedro,CI,2021-12-04 17:56:36,4.7485,-6.6363,80.87,78,56,6.76,broken clouds
79,Ginda,IN,2021-12-04 17:56:36,30.6945,78.4932,48.13,35,0,6.24,clear sky
80,Hobart,AU,2021-12-04 17:48:56,-42.8794,147.3294,44.46,80,70,1.01,broken clouds
81,Qaanaaq,GL,2021-12-04 17:56:37,77.484,-69.3632,0.52,66,70,7.63,broken clouds
82,Pevek,RU,2021-12-04 17:56:37,69.7008,170.3133,-12.1,97,100,9.35,overcast clouds
