City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Wilmington,US,2021-12-02 08:09:35,34.2257,-77.9447,57.11,89,90,9.22
68,Busselton,AU,2021-12-02 08:09:35,-33.65,115.3333,77.09,40,4,8.5
69,Mao,ES,2021-12-02 08:09:35,39.8885,4.2658,48.76,93,20,8.05
70,Codrington,AU,2021-12-02 08:09:36,-38.2667,141.9667,58.53,66,47,19.3
71,Saint-Philippe,RE,2021-12-02 08:09:36,-21.3585,55.7679,81.95,83,48,14.41
72,Mayumba,GA,2021-12-02 08:09:37,-3.432,10.6554,79.05,84,98,4.41
73,Geraldton,AU,2021-12-02 08:09:37,-28.7667,114.6,73.81,60,76,26.46
74,La Ronge,CA,2021-12-02 08:08:00,55.1001,-105.2842,4.01,98,91,3.11
75,Presidencia Roque Saenz Pena,AR,2021-12-02 08:09:37,-26.7852,-60.4388,64.83,62,4,5.77
76,Matamoros,MX,2021-12-02 08:09:38,25.5333,-103.25,62.11,69,56,2.42
77,Benguela,AO,2021-12-02 08:09:38,-12.5763,13.4055,80.2,73,76,4.12
78,Lloydminster,CA,2021-12-02 08:06:50,53.2835,-110.0016,19.8,97,93,5.3
79,Gat,IL,2021-12-02 08:09:39,31.61,34.7642,66.9,4,92,6.8
80,Sibut,CF,2021-12-02 08:09:39,5.718,19.0739,86.16,52,15,6.02
81,Hermanus,ZA,2021-12-02 08:09:40,-34.4187,19.2345,59.81,64,95,11.43
82,Spas,UA,2021-12-02 08:09:40,48.8899,24.0629,41.09,78,100,14.56
83,Sorland,NO,2021-12-02 08:07:55,67.667,12.6934,35.46,51,100,31.54
84,Ust-Tsilma,RU,2021-12-02 08:09:40,65.441,52.1498,18.63,96,100,3.91
85,Hilo,US,2021-12-02 08:09:41,19.7297,-155.09,75.27,87,20,6.91
86,Along,IN,2021-12-02 08:09:41,28.1667,94.7667,79.68,34,40,1.88
87,Port Elizabeth,ZA,2021-12-02 08:05:02,-33.918,25.5701,69.1,73,98,17.67
88,Lukovetskiy,RU,2021-12-02 08:09:42,64.2956,41.9211,15.78,98,84,3.69
89,Lagoa,PT,2021-12-02 08:09:42,39.05,-27.9833,62.56,83,0,8.84
90,Vaini,TO,2021-12-02 08:09:42,-21.2,-175.2,77.16,83,20,6.91
91,Aden,YE,2021-12-02 08:05:11,12.7794,45.0367,80.71,58,0,15.75
92,Lodja,CD,2021-12-02 08:09:43,-3.4833,23.4333,79.61,73,96,1.54
93,Whitehorse,CA,2021-12-02 08:10:43,60.7161,-135.0538,19.31,85,99,13.0
94,Kieta,PG,2021-12-02 08:06:42,-6.2167,155.6333,81.79,77,90,0.58
95,Tigil,RU,2021-12-02 08:10:44,57.8,158.6667,31.01,89,100,12.46
96,Saint-Augustin,CA,2021-12-02 08:10:44,51.226,-58.6502,24.26,92,100,3.15
97,Balyaga,RU,2021-12-02 08:10:45,51.1507,108.921,22.55,83,100,8.63
98,Cidreira,BR,2021-12-02 08:07:50,-30.1811,-50.2056,66.47,66,97,6.06
99,Sarangani,PH,2021-12-02 08:10:45,5.4033,125.4636,84.06,76,100,14.85
100,Luzino,RU,2021-12-02 08:10:46,54.9481,73.0353,29.97,55,0,13.42
101,Nanortalik,GL,2021-12-02 08:10:46,60.1432,-45.2371,31.46,93,100,16.06
102,Champerico,GT,2021-12-02 08:10:46,14.3,-91.9167,79.03,75,5,5.3
